,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,title_short,year,bad_good
850,France,"Young vines, planted in 2011, give a fresh, fruity wine with attractive citrus and zingy orange flavors. It is ripe and deliciously perfumed with a touch of minerality and saltiness. Drink from 2023.",Grèves Premier Cru,90,117.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Jacques Prieur 2018 Grèves Premier Cru  (Beaune),Chardonnay,Domaine Jacques Prieur, 2018 Grèves Premier Cru  (Beaune),2018,Mid
1453,France,"This dense and structured wine comes from a small walled vineyard within the larger Les Vignes Franches premier cru, partially owned by Louis Jadot. Robust tannins frame its rich, juicy black fruit, showing potential for long aging. Drink from 2024.",Clos des Ursules Premier Cru,94,90.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Jadot 2018 Clos des Ursules Premier Cru  (Beaune),Pinot Noir,Louis Jadot, 2018 Clos des Ursules Premier Cru  (Beaune),2018,Good
3072,France,"The aromas of smoky new wood follow through to the wood flavors on the palate. However, it's the powerful sweet black cherry and red berry fruit flavors, layered with fruit tannins and acidity, that are driving this impressive wine. For aging at least six years.",Clos des Mouches Premier Cru,94,89.0,Burgundy,Beaune,,Roger Voss,@vossroger,Joseph Drouhin 2012 Clos des Mouches Premier Cru  (Beaune),Pinot Noir,Joseph Drouhin, 2012 Clos des Mouches Premier Cru  (Beaune),2012,Good
3144,France,"Typical Beaune in its round, soft character. If the tannins are not particularly powerful, it still shows a generous nature, with super-ripe fruits supported by some dryness. The finish is jammy, ripe, a salad of red berries.",Les Marconnets Premier Cru,89,41.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Aîné & Fils 2009 Les Marconnets Premier Cru  (Beaune),Pinot Noir,Bouchard Aîné & Fils, 2009 Les Marconnets Premier Cru  (Beaune),2009,Mid
3691,France,"This is an austere wine, packed with tannins and tight acidity. The red fruits are right at the back behind the firm structure. A mineral character supports the dusty texture and suggests long-term aging. Drink from 2022.",Cent-Vignes Premier Cru,91,65.0,Burgundy,Beaune,,Roger Voss,@vossroger,Albert Morot 2016 Cent-Vignes Premier Cru  (Beaune),Pinot Noir,Albert Morot, 2016 Cent-Vignes Premier Cru  (Beaune),2016,Good
4435,France,"This wine is ripe, rounded with a smooth vanilla and spice texture that complements the yellow fruit and rich pear flavors. The wine is generous and likely to age quickly. Drink from 2023.",Dessus des Golardes,89,50.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine Pierre Guillemot 2019 Dessus des Golardes  (Savigny-lès-Beaune),Chardonnay,Domaine Pierre Guillemot, 2019 Dessus des Golardes  (Savigny-lès-Beaune),2019,Mid
5874,France,"Ripe with a warm character, this wine has both bright red berry fruit and a rich, generous structure. Its fruitiness shows that it's still young—its acidity very much upfront. It will fill out and develop richness with time in bottle. Drink from 2024.",,88,40.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Labouré-Roi 2019  Savigny-lès-Beaune,Pinot Noir,Labouré-Roi, 2019  Savigny-lès-Beaune,2019,Mid
6571,France,"This is a rare venture by Olivier Leflaive outside his home territory around Puligny, Chassagne and Meursault. The wine is classic Corton-Charlemagne, big and bold, a broad-shouldered wine that brings together toastiness, ripe pineapple and mango and balancing, lively acidity. It is already giving great pleasure, but should last well over the next decade.",,94,150.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Olivier Leflaive 2010  Corton-Charlemagne,Chardonnay,Olivier Leflaive, 2010  Corton-Charlemagne,2010,Good
8120,France,"This Premier Cru is situated in the southern half of Savigny, close to Beaune proper. Here it has produced a ripe generous wine full of spicy smoky red fruits and balanced acidity. The wine is still showing its baby fruit and needs time. Drink from 2023.",Les Hauts Jarrons Premier Cru,93,70.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine de Bellene 2018 Les Hauts Jarrons Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Domaine de Bellene, 2018 Les Hauts Jarrons Premier Cru  (Savigny-lès-Beaune),2018,Good
8888,France,"An impressively powerful wine, with packed acidity, sweet fruits and ripe tannins. The wine has great density, a dusty texture, the fruit powering through while preserving the relative austerity of the vintage.",Corton le Rognet,93,120.0,Burgundy,Corton,,Roger Voss,@vossroger,Camille Giroud 2012 Corton le Rognet  (Corton),Pinot Noir,Camille Giroud, 2012 Corton le Rognet  (Corton),2012,Good
9065,France,"This spicy, toasty wine currently shows more wood than fruit. Hints of yellow fruits are already there, so the texture should open to give a riper, fruitier wine. Give it until 2024.",,89,59.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine Françoise André 2019  Savigny-lès-Beaune,Chardonnay,Domaine Françoise André, 2019  Savigny-lès-Beaune,2019,Mid
9506,France,"This is rounded and soft, with wood and spice flavors. There's an intriguing touch of ginger, along with a salty, mineral character.",Champs Pimont Premier Cru,87,79.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Jacques Prieur 2013 Champs Pimont Premier Cru  (Beaune),Chardonnay,Domaine Jacques Prieur, 2013 Champs Pimont Premier Cru  (Beaune),2013,Mid
9780,France,"This ripe, almond- and pear-flavored wine has a fine balancing structure of green fruit skins. It's certainly rich, but it also has elegance, restraining its exuberance through the finishing acidity, which promises 5–7 years' aging.",Beaune du Château Premier Cru,92,42.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Père & Fils 2009 Beaune du Château Premier Cru  (Beaune),Chardonnay,Bouchard Père & Fils, 2009 Beaune du Château Premier Cru  (Beaune),2009,Good
9781,France,"For a Savigny, this is surprisingly firm and tannic, the wine's structure an impressive edifice of dry tannins and firm cranberry and plum skin flavors. It is certainly ripe, the fruit promising attractive richness in 3–5 years, followed by good aging potential.",Les Lavières Premier Cru,92,43.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Bouchard Père & Fils 2009 Les Lavières Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Bouchard Père & Fils, 2009 Les Lavières Premier Cru  (Savigny-lès-Beaune),2009,Good
9939,France,A gentle wine with open and generous soft berry fruits showing through dusty tannins and lively acidity. This is likely to develop relatively fast into a delicious wine.,La Dominode Premier Cru,90,37.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Louis Jadot 2009 La Dominode Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Louis Jadot, 2009 La Dominode Premier Cru  (Savigny-lès-Beaune),2009,Mid
11201,France,"This is a powerful wine with complex structure, dense fruits and a solid texture. It's dry, firm, dark and still very young. The core of the wine is still tannin, the black cherry fruit giving so much richness before the fresh acidity cuts in. Drink from 2022.",,94,175.0,Burgundy,Corton,,Roger Voss,@vossroger,Chanson Père et Fils 2015  Corton,Pinot Noir,Chanson Père et Fils, 2015  Corton,2015,Good
11202,France,"A specialty of Chanson, this small premier cru gives a perfumed, dark and tannic wine. The dense, firm structure gives a dramatic base to the ripe black fruits, balanced acidity and a touch of wood that smoothes the wine. Drink from 2022.",Clos des Fèves Premier Cru,94,100.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Chanson 2015 Clos des Fèves Premier Cru  (Beaune),Pinot Noir,Domaine Chanson, 2015 Clos des Fèves Premier Cru  (Beaune),2015,Good
11206,France,"One of the flagship wines of Louis Latour, this has great weight, richness and ripe yellow fruits, all surrounded by wood and citrus flavors. A sense of mineral in the texture adds complexity, while the firm structure needs to age. Drink from 2022.",,94,140.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Louis Latour 2015  Corton-Charlemagne,Chardonnay,Louis Latour, 2015  Corton-Charlemagne,2015,Good
11559,France,"A ripe, balanced wine that has juicy red strawberry and raspberry fruits and fine acidity to balance. It is warm and rounded, full of dense fruits, with its tannins surrounded by the cushion of the fruit. Drink this already delicious wine from 2021.",Planchots,91,50.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Jean-Claude Boisset 2019 Planchots  (Savigny-lès-Beaune),Pinot Noir,Jean-Claude Boisset, 2019 Planchots  (Savigny-lès-Beaune),2019,Good
11671,France,"This light, fruity, strawberry-flavored wine has good acidity, soft tannins and just a touch of softness from ripe fruit. It's ready to drink, but will be best from 2019.",Le Village,87,32.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Henri de Villamont 2014 Le Village  (Savigny-lès-Beaune),Pinot Noir,Henri de Villamont, 2014 Le Village  (Savigny-lès-Beaune),2014,Mid
